hhno	hhsize	hhvehs	hhwkrs	hhftw	hhptw	hhret	hhoad	hhuni	hhhsc	hh515	hhcu5	hhincome	hownrent	hrestype	hhparcel	hhtaz	hhexpfac	samptype
100140	2	2	2	1	1	0	0	0	0	0	0	87500	9	1	74268	20225	40.0757	1
100206	3	2	3	2	1	0	0	0	0	0	0	62500	9	1	75319	20249	61.3528	1
100291	5	2	2	1	1	0	0	0	0	0	3	125000	9	1	72042	20048	143.3642	1
100355	1	1	1	1	0	0	0	0	0	0	0	37500	9	1	71866	20042	89.1464	1
100374	4	2	1	0	1	0	1	0	0	2	0	62500	9	1	70390	20002	109.544	1
100449	2	2	0	0	0	0	2	0	0	0	0	62500	9	1	71043	20020	22.5154	1
100503	2	2	2	2	0	0	0	0	0	0	0	87500	9	2	71260	20026	49.8492	1
100601	4	2	2	2	0	0	0	0	1	1	0	125000	9	1	70666	20011	90.7767	1
100663	1	1	0	0	0	1	0	0	0	0	0	-1	9	1	79125	20637	194.4566	1
100677	2	1	2	1	1	0	0	0	0	0	0	37500	9	1	78639	20629	318.265	1
100702	2	2	1	1	0	1	0	0	0	0	0	125000	9	1	79443	20643	231.0166	1
101057	1	1	0	0	0	1	0	0	0	0	0	37500	9	2	76040	20277	407.8757	1
101096	3	4	2	2	0	0	0	0	0	0	1	-1	9	1	76438	20407	259.1803	1
101113	1	1	0	0	0	0	1	0	0	0	0	87500	9	1	76656	20413	238.5658	1
101175	1	1	0	0	0	0	1	0	0	0	0	17500	9	1	77151	20425	414.8827	1
101182	2	2	0	0	0	2	0	0	0	0	0	62500	9	1	77144	20425	25.0671	1
101191	2	3	0	0	0	1	1	0	0	0	0	62500	9	1	80629	20818	217.13400000000001	1
101258	2	1	0	0	0	2	0	0	0	0	0	125000	9	2	74974	20241	41.1715	1
101297	2	2	0	0	0	2	0	0	0	0	0	87500	9	1	75091	20245	19.8642	1
101461	1	1	1	1	0	0	0	0	0	0	0	87500	9	1	75628	20263	422.6865	1
101973	3	3	1	1	0	2	0	0	0	0	0	87500	9	1	85916	22230	54.6678	1
101983	2	2	2	2	0	0	0	0	0	0	0	125000	9	1	85942	22230	34.2671	1
102040	1	1	1	1	0	0	0	0	0	0	0	87500	9	1	85361	22215	42.7477	1
102082	2	2	0	0	0	2	0	0	0	0	0	87500	9	1	85216	22212	32.9846	1
102146	1	1	0	0	0	1	0	0	0	0	0	30000	9	3	85460	22217	281.5331	1
102155	1	1	1	1	0	0	0	0	0	0	0	30000	9	1	85621	22222	53.1133	1
102212	1	1	0	0	0	1	0	0	0	0	0	62500	9	1	84775	22072	111.9533	1
102239	4	2	2	2	0	0	0	0	1	1	0	87500	9	1	87811	22423	112.7101	1
102372	3	2	2	2	0	0	0	0	0	1	0	-1	9	1	86310	22240	617.1913	1
102586	2	2	2	2	0	0	0	0	0	0	0	275000	9	1	86561	22249	96.0507	1
102600	2	3	0	0	0	0	2	0	0	0	0	125000	9	1	86515	22248	33.6419	1
102638	3	2	1	1	0	0	1	0	0	1	0	125000	9	1	86152	22234	87.8844	1
102718	4	3	2	2	0	0	0	1	1	0	0	-1	9	1	88857	22445	216.3598	1
102859	2	0	0	0	0	0	1	0	1	0	0	17500	9	1	89482	22613	160.8549	1
102979	2	1	0	0	0	2	0	0	0	0	0	62500	9	1	90639	22802	32.2578	1
103024	3	4	2	2	0	0	1	0	0	0	0	62500	9	1	91279	22815	139.9891	1
103087	2	2	1	1	0	1	0	0	0	0	0	87500	9	1	91960	22839	583.351	1
103105	5	2	1	1	0	0	1	0	0	1	2	125000	9	1	91886	22837	99.2689	1
103132	3	2	2	2	0	0	0	0	0	1	0	225000	9	1	91632	22828	764.7753	1
